dataset;spatial_class;geo_ontology
DBpedia;http://dbpedia.org/class/yago/WikicatBuildingsAndStructuresInÅlesund;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatVillagesInŁaskCounty;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatBattlesInvolvingMoldavia;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatNeighbourhoodsOfBangalore;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatRiversInTheRiverina;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatNeighbourhoodsOfBangalore;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatCastlesInJapan;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatBusinessSchoolsInOdisha;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatBuildingsAndStructuresInOregon;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatBusinessSchoolsInOdisha;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatVillagesInŻaryCounty;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatJohnDouglasBuildings;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatDefunctSchoolsInAlabama;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatVillagesInWarsawWestCounty;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatHousesCompletedIn1838;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatVillagesInTurekCounty;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatFirstNationsInBritishColumbia;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatVillagesInNowyTomyślCounty;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatInternationalBaccalaureateSchoolsInMaryland;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatVillagesInWarsawWestCounty;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatUnincorporatedCommunitiesInDeSotoCounty,Florida;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatPopulatedPlacesInBorDistrict;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatRuralLocalitiesInMurmanskOblast;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatPopulatedPlacesInBorDistrict;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatJamesMurphyBuildings;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatVillagesInTurekCounty;GeoRSS
DBpedia;http://dbpedia.org/class/yago/Painting103876519;W3C Basic Geo
